Borough,Block,Lot,FromMonth,ToMonth,FromDay,ToDay,FromYear,ToYear,DocType
1,1,0000,1,12,1,31,2009,2010,
1,1,0000,1,12,1,31,2010,2011,
1,1,0000,1,12,1,31,2011,2012,
1,2,0000,1,12,1,31,2009,2010,
1,2,0000,1,12,1,31,2010,2011,
1,2,0000,1,12,1,31,2011,2012,
1,3,0000,1,12,1,31,2009,2010,
1,3,0000,1,12,1,31,2010,2011,
1,3,0000,1,12,1,31,2011,2012,
1,4,0000,1,12,1,31,2009,2010,
1,4,0000,1,12,1,31,2010,2011,
1,4,0000,1,12,1,31,2011,2012,
1,5,0000,1,12,1,31,2009,2010,
1,5,0000,1,12,1,31,2010,2011,
1,5,0000,1,12,1,31,2011,2012,
1,6,0000,1,12,1,31,2009,2010,
1,6,0000,1,12,1,31,2010,2011,
1,6,0000,1,12,1,31,2011,2012,
1,7,0000,1,12,1,31,2009,2010,
1,7,0000,1,12,1,31,2010,2011,
1,7,0000,1,12,1,31,2011,2012,
1,8,0000,1,12,1,31,2009,2010,
1,8,0000,1,12,1,31,2010,2011,
1,8,0000,1,12,1,31,2011,2012,
1,9,0000,1,12,1,31,2009,2010,
1,9,0000,1,12,1,31,2010,2011,
1,9,0000,1,12,1,31,2011,2012,
1,10,0000,1,12,1,31,2009,2010,
1,10,0000,1,12,1,31,2010,2011,
1,10,0000,1,12,1,31,2011,2012,
1,11,0000,1,12,1,31,2009,2010,
1,11,0000,1,12,1,31,2010,2011,
1,11,0000,1,12,1,31,2011,2012,
1,12,0000,1,12,1,31,2009,2010,
1,12,0000,1,12,1,31,2010,2011,
1,12,0000,1,12,1,31,2011,2012,
1,13,0000,1,12,1,31,2009,2010,
1,13,0000,1,12,1,31,2010,2011,
1,13,0000,1,12,1,31,2011,2012,
1,14,0000,1,12,1,31,2009,2010,
1,14,0000,1,12,1,31,2010,2011,
1,14,0000,1,12,1,31,2011,2012,
1,15,0000,1,12,1,31,2009,2010,
1,15,0000,1,12,1,31,2010,2011,
